Timestamp,Year,Extroversion,Texts,Handedness,Sleep Position,Hours of Sleep,Siblings,Pets,Random Number,Tattoos,Commute
4/23/2024 9:45:48,Second,5,20,Right,Right side,7.5,2,N/A,9472,No,walk
4/23/2024 9:45:48,Third,7,50,Right,Right side,6,3,dog,6753,No,Bike
4/23/2024 9:45:48,Second,6,50,Left,Left side,9,2,3 Cats,4532,No,Bike
4/23/2024 9:45:50,Third,4,100,Right,Left side,7,1,none,7598,No,Bus
4/23/2024 9:45:59,First,7,60,Right,Back,7,2,Dogs,1030,No,walk
4/23/2024 9:46:00,First,9,50,Right,Stomach,7,2,cat,3737,Yes,Bike
4/23/2024 9:46:13,First,4,150,Left,Right side,7,1,"dog,bird",8392,No,walk
4/23/2024 9:46:27,Fourth,4,20,Right,Left side,7,4,1 Dog,1207,No,Bike
4/23/2024 9:46:28,First,5,10,Right,Right side,6,7,1,2004,No,walk
4/23/2024 9:46:45,Third,3,20,Right,Stomach,7,2,0,9085,No,E-Scooter
4/23/2024 9:46:53,Third,7,40,Right,Back,7,0,0,6969,No,Car
4/23/2024 9:47:03,First,5,100,Right,Right side,6,2,2 dogs,5621,Yes,walk
4/23/2024 9:47:32,First,6,100,Right,Back,7,2,Dog,1000,No,walk
4/23/2024 9:47:36,Fourth+,7,20,Right,Left side,8,3,0,4901,No,walk
4/23/2024 9:47:47,First,5,100,Right,Left side,9,0,none,1000,No,walk
4/23/2024 9:47:50,First,8,75,Right,Right side,7,2,0,9599,No,walk
4/23/2024 9:47:57,Second,7,30,Right,Back,7,1,A bunny,5773,No,walk
4/23/2024 9:48:21,First,6,75,Right,Right side,6,0,3 dogs (one is mine) ,7403,Yes,Bike
4/23/2024 9:48:53,Second,4,100,Left,Back,8,3,"cat, dog",8365,No,walk
4/23/2024 9:49:00,First,7,60,Right,Back,7,2,Dogs,1030,No,walk
4/23/2024 9:49:15,Fourth,2,2,Right,Back,8,0,none,2223,No,Bus
4/23/2024 9:50:12,Second,5,50,Right,Right side,6,1,0,1291,Yes,walk
4/23/2024 9:52:01,Fourth,2,2,Right,Back,7,0,none,2223,No,Bus
4/23/2024 9:57:54,First,3,30,Right,Right side,7,1,1,7203,No,walk
4/23/2024 10:00:18,Second,5,15,Right,Right side,6,2,1 dog,4121,No,walk
4/23/2024 10:01:05,First,10,30,Right,Stomach,7,3,"Cat, dog, dog,",6745,No,walk
4/23/2024 10:13:18,Second,7,50,Right,Back,6,0,0,5846,No,Bus
4/23/2024 10:14:43,Second,7,60,Right,Back,6,0,0,5279,No,Bus
4/23/2024 10:40:49,First,2,100,Right,Right side,8,4,"1 cat, 5 dogs",7630,Yes,walk
4/23/2024 10:41:27,First,3,40,Right,Back,6,0,0,2938,No,walk
4/23/2024 11:05:36,Third,5,150,Right,Right side,7,1,0,4983,No,Bike
4/23/2024 11:59:09,Fourth,6,2,Right,Back,7,3,0,9910,No,Bus
4/23/2024 12:27:59,First,6,20,Right,Right side,6,3,1 dog,3421,No,walk
4/23/2024 12:50:19,Second,7,15,Right,Right side,6,1,"cat, fish",1738,Yes,walk
4/23/2024 15:07:00,First,7,35,Right,Stomach,7,1,0,5555,No,Bike
4/23/2024 17:22:44,First,7,50,Right,Back,7,3,dog,8596,Yes,Bike
4/23/2024 17:32:18,Fourth,8,300,Right,Back,5,1,cat,2748,No,Bike
4/23/2024 18:23:24,First,4,,Right,Right side,6,2,0,5310,No,walk
4/23/2024 19:59:58,Third,7,3,Right,Back,7,4,1 dog,4101,Yes,Bike
4/23/2024 21:47:00,First,2,100,Right,Right side,8,4,"dogs,cat",3749,Yes,walk
4/23/2024 21:47:00,First,7,100,Left,Left side,8,1,1,2546,No,walk
4/24/2024 10:10:03,Second,3,100,,Back,6,4,One cat.,4937,Yes,Car
4/24/2024 11:03:37,Third,6,3,Right,Back,6,0,0,6969,No,walk
4/24/2024 11:15:34,Second,5,50,Right,Left side,9,1,1 dog,9825,No,Bike
4/24/2024 12:41:34,Fourth,5,45,,Left side,8,0,Siamese cat,4893,No,Bus
4/24/2024 12:42:38,Fourth+,5,45,Right,Left side,8,0,Siamese cat,4983,No,Bus
4/24/2024 16:29:06,Third,3,60,Right,Left side,8,1,"dog, dog",8404,No,walk
4/24/2024 17:54:08,First,10,40,Left,Stomach,7,3,"Cat, dog, Dog",5678,No,walk
4/25/2024 10:03:50,Fourth,5,100,Right,Back,4,3,dog,6969,No,Bus
4/30/2024 14:41:58,Fourth,6,10,Left,Back,7,2,Dog,3893,No,Car
5/11/2024 18:40:57,First,8,50,Right,Back,6,0,2 dogs,6537,No,walk
